"Date","Returns"
1,0.610026620860793
2,0.0697648685839421
3,-0.364724868534607
4,-1.15977757129384
5,-0.000195845749420991
6,-0.0827634445303811
7,-0.13646777660654
8,-0.237381908915767
9,-0.0929299818548768
10,-0.0132016823657123
11,0.364375294948212
12,-0.0197374233495073
13,0.279877169064867
14,-0.0711711286476812
15,0.108382710078906
16,-0.536474502050026
17,-0.0575924209878853
18,-0.160554694605991
19,-0.301727828266215
20,0.570223871251473
21,0.20400176148514
22,0.133903960983924
23,-0.717674605276365
24,-0.0163889550004081
25,0.36718887529369
26,-0.654391739658568
27,-0.161998212789238
28,0.187373109045301
29,-0.052293637331833
30,-0.426066186840245
31,-0.273909276580164
32,-0.0405637714017675
33,-0.650006502392453
34,-0.101676020109015
35,0.0991406368579038
36,0.253891636240173
37,-0.0120713975255897
38,-0.463708356298886
39,-0.169591844273821
40,-0.211297633352461
41,-0.18136292375316
42,-0.111537999769812
43,-0.122626728363846
44,0.103347295680492
45,-0.197902569856897
46,0.136764506499131
47,-0.0350170538147195
48,-0.491087318291453
49,0.0299050374339462
50,-0.561162492212594
51,-0.404667484805604
52,0.267008838351374
53,0.120055156341441
54,-0.245916846184071
55,0.537853471754139
56,0.0517171336525601
57,-0.397686139229424
58,0.0139449068645599
59,0.0414588861858026
60,0.106512395743107
61,-0.23307299775468
62,-0.696856351919913
63,0.0240675509948825
64,0.401962019606188
65,-0.184242480586427
66,-0.0738888940559458
67,-0.270293047489043
68,-0.568699871444488
69,-0.0190497468543455
70,-0.3456271194674
71,-0.166355394472364
72,0.158419434307334
73,0.14326291073879
74,-0.207814929096627
75,-0.124009513294367
76,-0.27755728749009
77,-0.0980867061975862
78,-0.0136186372264705
79,-0.139478726537408
80,0.469202332600068
81,-0.235651478994501
82,-0.331751551503027
83,0.39277141145819
84,0.0470676729632991
85,0.265266927187414
86,0.557818030654914
87,-0.793603576290073
88,0.43659251295725
89,0.140832298850752
90,0.0661441350932514
91,0.521400671577828
92,-1.0602598777171
93,0.26150105083655
94,0.130086533482932
95,-0.477572782266098
96,-0.0350053496651826
97,0.458625041394592
98,-0.360517737416235
99,-0.0520317063101624
100,-0.25571388966621
101,0.90559225407465
102,-0.0448829642038498
103,0.399184643404939
104,0.0737938081894265
105,-0.00300069249228506
106,-0.293238520673066
107,1.01620487138212
108,-0.401103618481606
109,-0.797132708220133
110,-0.0955793385932068
111,-0.0585172573289666
112,-0.095244806282635
113,-0.132583201621046
114,0.154106294137301
115,-0.000335181624472574
116,0.180861890881651
117,0.196001204291744
118,-0.187467962721477
119,0.126563239632486
120,-0.592036600621042
121,0.171756182893966
122,-0.695302545629497
123,-0.116383373305946
124,-0.000866448499197166
125,0.155073990238094
126,-0.350126976198539
127,0.436090735483516
128,0.345394527517668
129,-0.68815670151758
130,-0.0123675072181854
131,0.0120543495960045
132,0.199282576138677
133,-0.0577341607742355
134,0.0719064416084865
135,0.427649064918987
136,0.0592101943902722
137,-0.568469084449769
138,-0.187662960122133
139,-0.0553062378608158
140,-0.251536010485548
141,-0.435105623575534
142,0.152240018163717
143,0.117279799890669
144,0.66368125259506
145,0.044656664301672
146,-0.50386016445776
147,0.0490140035900594
148,-0.102437925324888
149,0.087243691225013
150,0.0070309519049952
151,0.135573453619964
152,0.244759252537346
153,0.417008482712979
154,0.130593347460447
155,-0.0883056828765376
156,-0.320195131931824
157,-0.262949150242954
158,0.640362219143943
159,0.0440414024477446
160,0.121331129118027
161,-0.944167095771653
162,0.400579662560008
163,-0.255177286631349
